,index,duration,distance
0,7215.0,1130.0,6090.0
1,7216.0,422.0,1542.0
2,7217.0,211.0,815.0
3,7218.0,519.0,2016.0
4,7219.0,1915.0,9005.0
5,7220.0,0.0,0.0
6,7221.0,1308.0,6822.0
7,7222.0,717.0,2725.0
8,7223.0,387.0,1508.0
9,7224.0,585.0,2643.0
10,7225.0,829.0,3167.0
11,7226.0,829.0,3167.0
12,7227.0,463.0,2067.0
13,7228.0,891.0,3818.0
14,7229.0,354.0,1465.0
15,7230.0,156.0,471.0
16,7231.0,575.0,2544.0
17,7232.0,248.0,1057.0
18,7233.0,548.0,2280.0
19,7234.0,884.0,3881.0
20,7235.0,541.0,2121.0
21,7236.0,348.0,1439.0
22,7237.0,549.0,2678.0
23,7238.0,666.0,2514.0
24,7239.0,228.0,980.0
25,7240.0,1135.0,5200.0
26,7241.0,383.0,1748.0
27,7242.0,494.0,2018.0
28,7243.0,1586.0,6924.0
29,7244.0,494.0,2018.0
30,7245.0,208.0,538.0
31,7246.0,259.0,1038.0
32,7247.0,302.0,1406.0
33,7248.0,199.0,836.0
34,7249.0,364.0,1415.0
35,7250.0,249.0,940.0
36,7251.0,261.0,1152.0
37,7252.0,470.0,1979.0
38,7253.0,831.0,2987.0
39,7254.0,476.0,1931.0
40,7255.0,364.0,1415.0
41,7256.0,399.0,1857.0
42,7257.0,324.0,1342.0
43,7258.0,232.0,997.0
44,7259.0,166.0,822.0
45,7260.0,399.0,1857.0
46,7261.0,481.0,1990.0
47,7262.0,324.0,1342.0
48,7263.0,461.0,1886.0
49,7264.0,422.0,1542.0
50,7265.0,211.0,815.0
51,7266.0,184.0,782.0
52,7267.0,1155.0,5183.0
53,7268.0,1430.0,6161.0
54,7269.0,335.0,1154.0
55,7270.0,203.0,799.0
56,7271.0,613.0,2431.0
57,7272.0,503.0,2178.0
58,7273.0,261.0,1152.0
59,7274.0,1430.0,6161.0
60,7275.0,287.0,1042.0
61,7276.0,373.0,1393.0
62,7277.0,327.0,1384.0
63,7278.0,570.0,2481.0
64,7279.0,364.0,1415.0
65,7280.0,575.0,2458.0
66,7281.0,296.0,1162.0
67,7282.0,373.0,1393.0
68,7283.0,422.0,1542.0
69,7284.0,1233.0,5576.0
70,7285.0,335.0,1154.0
71,7286.0,287.0,1042.0
72,7287.0,383.0,1748.0
73,7288.0,287.0,1042.0
74,7289.0,335.0,1154.0
75,7290.0,406.0,1681.0
76,7291.0,498.0,1990.0
77,7292.0,324.0,1342.0
78,7293.0,475.0,1824.0
79,7294.0,182.0,655.0
80,7295.0,714.0,3203.0
81,7296.0,583.0,2415.0
82,7297.0,232.0,997.0
83,7298.0,770.0,2945.0
84,7299.0,459.0,1769.0
85,7300.0,302.0,1406.0
86,7301.0,342.0,1205.0
87,7302.0,891.0,3818.0
88,7303.0,476.0,1931.0
89,7304.0,327.0,1384.0
90,7305.0,814.0,3575.0
91,7306.0,670.0,2620.0
92,7307.0,364.0,1415.0
93,7308.0,208.0,538.0
94,7318.0,536.0,1978.0
95,7319.0,600.0,2742.0
96,7320.0,795.0,3065.0
97,7321.0,1585.0,8101.0
98,7322.0,905.0,3894.0
99,7323.0,149.0,343.0
100,7324.0,1286.0,5109.0
101,7325.0,520.0,2560.0
102,7326.0,353.0,911.0
103,7327.0,712.0,2928.0
104,7328.0,520.0,2560.0
105,7329.0,1297.0,5090.0
106,7330.0,1022.0,4002.0
107,7331.0,437.0,1592.0
108,7332.0,1248.0,4633.0
109,7333.0,1153.0,4572.0
110,7334.0,657.0,2531.0
111,7335.0,635.0,2095.0
112,7336.0,422.0,2010.0
113,7337.0,1153.0,4572.0
114,7338.0,422.0,2010.0
115,7339.0,312.0,1334.0
116,7340.0,979.0,4780.0
117,7341.0,545.0,1724.0
118,7342.0,303.0,1082.0
119,7343.0,227.0,708.0
120,7344.0,603.0,3089.0
121,7345.0,617.0,3381.0
122,7346.0,617.0,3381.0
123,7347.0,500.0,1832.0
124,7348.0,142.0,650.0
125,7349.0,660.0,3377.0
126,7350.0,1810.0,9774.0
127,7351.0,648.0,3261.0
128,7352.0,240.0,674.0
129,7353.0,438.0,1372.0
130,7354.0,717.0,2478.0
131,7355.0,719.0,3721.0
132,7356.0,290.0,1407.0
133,7357.0,408.0,1423.0
134,7358.0,979.0,4780.0
135,7359.0,180.0,605.0
136,7360.0,850.0,3305.0
137,7361.0,441.0,1938.0
138,7362.0,561.0,2088.0
139,7363.0,896.0,4304.0
140,7364.0,896.0,4304.0
141,7365.0,875.0,4140.0
142,7366.0,593.0,2633.0
143,7367.0,500.0,1832.0
144,7368.0,500.0,1832.0
145,7369.0,279.0,830.0
146,7370.0,473.0,1546.0
147,7371.0,149.0,343.0
148,7372.0,473.0,1546.0
149,7373.0,1029.0,4561.0
150,7374.0,500.0,1832.0
151,7375.0,320.0,1232.0
152,7376.0,500.0,1778.0
153,7377.0,617.0,3381.0
154,7378.0,617.0,3381.0
155,7379.0,983.0,4295.0
156,7380.0,719.0,3721.0
157,7381.0,979.0,4780.0
158,7382.0,314.0,1172.0
159,7390.0,248.0,845.0
160,7391.0,430.0,1979.0
161,7392.0,605.0,2162.0
162,7393.0,605.0,2162.0
163,7394.0,1234.0,5167.0
164,7395.0,562.0,1911.0
165,7396.0,748.0,3508.0
166,7397.0,825.0,4409.0
167,7398.0,301.0,1304.0
168,7399.0,480.0,1684.0
169,7400.0,899.0,3631.0
170,7401.0,1134.0,4526.0
171,7402.0,465.0,1435.0
172,7403.0,626.0,2310.0
173,7404.0,275.0,1006.0
174,7405.0,1136.0,4564.0
