,index,latitude,longitude,duration
0,1.0,40.7647357,-73.988042,187.0
1,1.0,40.74717,-74.0008625,467.0
2,1.0,40.7448325,-73.9953307,146.0
3,2.0,40.7671295,-73.993723,5.0
4,2.0,40.763385,-73.996475,103.0
5,2.0,40.7634623,-73.9966328,29.0
6,3.0,40.7647357,-73.988042,187.0
7,3.0,40.7571543,-73.9935881,216.0
8,3.0,40.7543392,-73.9869051,195.0
9,3.0,40.7530131,-73.9873233,23.0
10,4.0,40.7671295,-73.993723,5.0
11,4.0,40.7665144,-73.9941846,39.0
12,4.0,40.7674705,-73.9964382,27.0
13,4.0,40.7668412,-73.9968981,88.0
14,4.0,40.7668993,-73.997028,2.0
15,4.0,40.7608377,-74.0024927,149.0
16,4.0,40.76073,-74.0025571,2.0
17,4.0,40.7484741,-74.0080489,257.0
18,4.0,40.7174444,-74.0131424,617.0
19,4.0,40.7175365,-74.0132308,82.0
20,5.0,40.7627274,-73.9832631,321.0
21,5.0,40.7606949,-73.9845701,34.0
