,index,station.id,station.name,latitude,longitude,boroname,boro
0,1,255,NYCBS Depot - SSP,40.646768,-74.01651,Outer Boro,Brooklyn
1,2,3044,Albany Ave & Fulton St,40.6800105,-73.938475,Outer Boro,Brooklyn
2,3,396,Lefferts Pl & Franklin Ave,40.68034,-73.95577,Outer Boro,Brooklyn
3,4,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,Outer Boro,Brooklyn
4,5,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,Outer Boro,Brooklyn
5,6,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,Outer Boro,Brooklyn
6,7,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,Outer Boro,Brooklyn
7,8,437,Macon St & Nostrand Ave,40.68098339,-73.95004798,Outer Boro,Brooklyn
8,9,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,Outer Boro,Brooklyn
9,10,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,Outer Boro,Brooklyn
10,11,365,Fulton St & Grand Ave,40.68223166,-73.9614583,Outer Boro,Brooklyn
11,12,384,Fulton St & Washington Ave,40.683048,-73.964915,Outer Boro,Brooklyn
12,13,384,Fulton St & Washington Ave,40.683048,-73.964915,Outer Boro,Brooklyn
13,14,467,Dean St & 4 Ave,40.68312489,-73.97895137,Outer Boro,Kings County
14,15,467,Dean St & 4 Ave,40.68312489,-73.97895137,Outer Boro,Kings County
15,16,467,Dean St & 4 Ave,40.68312489,-73.97895137,Outer Boro,Kings County
16,17,467,Dean St & 4 Ave,40.68312489,-73.97895137,Outer Boro,Kings County
17,18,467,Dean St & 4 Ave,40.68312489,-73.97895137,Outer Boro,Kings County
18,19,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,Outer Boro,Brooklyn
19,20,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,Outer Boro,Brooklyn
20,21,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,Outer Boro,Brooklyn
21,22,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,Outer Boro,Brooklyn
22,23,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,Outer Boro,Brooklyn
23,24,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,Outer Boro,Brooklyn
24,25,271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,Outer Boro,Brooklyn
