Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,,,symbol
TFSC,1347 Capital Corp.,9.98,$59.36M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc,,,,tfsc
TFSCR,1347 Capital Corp.,0.27,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscr,,,,tfscr
TFSCU,1347 Capital Corp.,10.3001,$43.05M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscu,,,,tfscu
TFSCW,1347 Capital Corp.,0.13,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscw,,,,tfscw
PIH,"1347 Property Insurance Holdings, Inc.",6.99,$42.7M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,,,,pih
FLWS,"1-800 FLOWERS.COM, Inc.",8.16,$533.93M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,,,,flws
FCTY,"1st Century Bancshares, Inc",11.15,$115.26M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,,,,fcty
FCCY,1st Constitution Bancorp (NJ),12.6999,$100.87M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,,,,fccy
SRCE,1st Source Corporation,33.39,$863.11M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,,,,srce
VNET,"21Vianet Group, Inc.",13.7,$1.2B,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,,,,vnet
TWOU,"2U, Inc.",28.63,$1.33B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,,,,twou
JOBS,"51job, Inc.",29.94,$1.78B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,,,,jobs
CAFD,8point3 Energy Partners LP,15.04,$1.07B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,,,,cafd
EGHT,8x8 Inc,13.35,$1.19B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,,,,eght
AVHI,"A V Homes, Inc.",12.99,$294.2M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,,,,avhi
SHLM,"A. Schulman, Inc.",24.93,$733.67M,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,,,,shlm
AAON,"AAON, Inc.",27.67,$1.47B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,,,,aaon
ABAX,"ABAXIS, Inc.",46.39,$1.04B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,,,,abax
ABEO,Abeona Therapeutics Inc.,3.03,$99.37M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,,,,abeo
ABEOW,Abeona Therapeutics Inc.,1.2999,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,,,,abeow
ABIL,Ability Inc.,3.1,$79.84M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,,,,abil
ABMD,"ABIOMED, Inc.",101.81,$4.35B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,,,,abmd
AXAS,Abraxas Petroleum Corporation,1.21,$128.73M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,,,,axas
ACIA,"Acacia Communications, Inc.",35.24,$1.26B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,,,,acia
ACTG,Acacia Research Corporation,5.12,$258.04M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,,,,actg
ACHC,"Acadia Healthcare Company, Inc.",59.85,$5.23B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,,,,achc
ACAD,ACADIA Pharmaceuticals Inc.,36.07,$4.08B,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,,,,acad
ACST,"Acasti Pharma, Inc.",1.4132,$15.14M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,,,,acst
AXDX,"Accelerate Diagnostics, Inc.",13.43,$687.86M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,,,,axdx
XLRN,Acceleron Pharma Inc.,36.19,$1.35B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,,,,xlrn
ANCX,Access National Corporation,20.75,$219.46M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,,,,ancx
ARAY,Accuray Incorporated,5.54,$448.32M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,,,,aray
VXDN,AccuShares Spot CBOE VIX Down Shares,5.4101,$2.3M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vxdn,,,,vxdn
VXUP,AccuShares Spot CBOE VIX Up Shares,5.705,"$242,462.50 ",n/a,n/a,n/a,http://www.nasdaq.com/symbol/vxup,,,,vxup
ACRX,"AcelRx Pharmaceuticals, Inc.",3.5,$158.59M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,,,,acrx
ACET,Aceto Corporation,22.48,$665.07M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,,,,acet
AKAO,"Achaogen, Inc.",3.93,$72.35M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,,,,akao
ACHN,"Achillion Pharmaceuticals, Inc.",9.64,$1.32B,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,,,,achn
ACIW,"ACI Worldwide, Inc.",20.93,$2.44B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,,,,aciw
ACRS,"Aclaris Therapeutics, Inc.",20.21,$410.61M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,,,,acrs
ACNB,ACNB Corporation,23.61,$142.71M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,,,,acnb
ACOR,"Acorda Therapeutics, Inc.",28.9,$1.33B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,,,,acor
ACTS,"Actions Semiconductor Co., Ltd.",1.9,$163.4M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts,,,,acts
ACPW,"Active Power, Inc.",0.5425,$12.54M,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw,,,,acpw
ATVI,"Activision Blizzard, Inc",37.81,$27.91B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,,,,atvi
ACTA,Actua Corporation,9.95,$392.62M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,,,,acta
ACUR,"Acura Pharmaceuticals, Inc.",2.54,$30.06M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur,,,,acur
ACXM,Acxiom Corporation,21.58,$1.67B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,,,,acxm
ADMS,"Adamas Pharmaceuticals, Inc.",17.03,$368.32M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,,,,adms
ADMP,Adamis Pharmaceuticals Corporation,8.86,$133.82M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,,,,admp
ADAP,Adaptimmune Therapeutics plc,11.12,$787.13M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,,,,adap
ADUS,Addus HomeCare Corporation,19.18,$219.58M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,,,,adus
AEY,"ADDvantage Technologies Group, Inc.",1.77,$17.94M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,,,,aey
IOTS,Adesto Technologies Corporation,3.6,$53.93M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,,,,iots
ADMA,ADMA Biologics Inc,7.48,$96.39M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,,,,adma
ADBE,Adobe Systems Incorporated,98.7,$49.37B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,,,,adbe
